Thời gian,Tiêu đề,URL,Nội dung
2023-03-06 11:10:00,"DGC: Nghị quyết HĐQT về tài liệu họp, thông báo mời họp, đường link tài liệu họp ĐHĐCĐ TN 2023",https://cafef.vn/du-lieu/dgc-312584/dgc-nghi-quyet-hdqt-ve-tai-lieu-hop-thong-bao-moi-hop-duong-link-tai-lieu-hop-dhdcd-tn-2023.chn,
2023-03-06 11:10:00,"DGC: Nghị quyết HĐQT thông qua hồ sơ họp, thông báo họp và link tài liệu họp ĐHĐCĐ thường niên 2023",https://cafef.vn/du-lieu/dgc-312587/dgc-nghi-quyet-hdqt-thong-qua-ho-so-hop-thong-bao-hop-va-link-tai-lieu-hop-dhdcd-thuong-nien-2023.chn,
2023-03-01 09:28:00,"Hàng chục nghìn tỷ cổ tức tiền mặt chuẩn bị ""đổ bộ"" vào tài khoản cổ đông Đức Giang, Kido, Vinamilk, Nova Consumer... và các ngân hàng",https://cafef.vn/du-lieu/dgc-315557/hang-chuc-nghin-ty-co-tuc-tien-mat-chuan-bi-do-bo-vao-tai-khoan-co-dong-duc-giang-kido-vinamilk-nova-consumer-va-cac-ngan-hang.chn,
2023-02-28 16:04:00,DGC: Giải trình BCTC kiểm toán năm 2022,https://cafef.vn/du-lieu/dgc-316085/dgc-giai-trinh-bctc-kiem-toan-nam-2022.chn,
2023-02-28 11:15:00,DGC: Báo cáo thay đổi về sở hữu của nhóm nhà đầu tư nước ngoài,https://cafef.vn/du-lieu/dgc-316319/dgc-bao-cao-thay-doi-ve-so-huu-cua-nhom-nha-dau-tu-nuoc-ngoai.chn,
2023-02-06 16:12:00,"DGC: 23.2.2023, ngày GDKHQ tham dự ĐHCĐ thường niên năm 2023",https://cafef.vn/du-lieu/dgc-327101/dgc-2322023-ngay-gdkhq-tham-du-dhcd-thuong-nien-nam-2023.chn,
2023-02-06 00:11:00,"Top DN nhiều tiền, trả hết nợ vẫn còn hơn chục nghìn tỷ: Một công ty BĐS giá cổ phiếu chưa đầy 7.500 đồng, tiền ròng đem chia cho mỗi cổ phần nhận tới 6.400 đồng",https://cafef.vn/du-lieu/dgc-327389/top-dn-nhieu-tien-tra-het-no-van-con-hon-chuc-nghin-ty-mot-cong-ty-bds-gia-co-phieu-chua-day-7500-dong-tien-rong-dem-chia-cho-moi-co-phan-nhan-toi-6400-dong.chn,
2023-02-04 00:05:00,Lộ diện quán quân EPS trên sàn chứng khoán,https://cafef.vn/du-lieu/dgc-327500/lo-dien-quan-quan-eps-tren-san-chung-khoan.chn,
2023-02-03 14:44:00,"Cổ phiếu TSB tăng hơn 300% trong 1 tháng: Hoá chất Đức Giang (DGC) chính thức lộ diện “thâu tóm” 51% vốn, giá mua không quá 39.200 đồng/cp",https://cafef.vn/du-lieu/dgc-327956/co-phieu-tsb-tang-hon-300-trong-1-thang-hoa-chat-duc-giang-dgc-chinh-thuc-lo-dien-thau-tom-51-von-gia-mua-khong-qua-39200-dongcp.chn,
2023-02-02 21:08:00,"Sau một năm thăng hoa, Hóa chất Đức Giang (DGC) đặt kế hoạch lãi quý I/2023 giảm 54% so với cùng kỳ, đi lùi 3 quý liên tiếp",https://cafef.vn/du-lieu/dgc-328178/sau-mot-nam-thang-hoa-hoa-chat-duc-giang-dgc-dat-ke-hoach-lai-quy-i2023-giam-54-so-voi-cung-ky-di-lui-3-quy-lien-tiep.chn,
